index,Ejecución,Tiempo de ejecución (s),Iteraciones,Mejor solución,Mejor fitness,Algoritmo
0,1,47.30259847640991,249,"[array([10, 10]), array([13., 13.]), array([13.66651111, 13.66651111]), array([17.47456564, 12.97456564]), array([17, 33]), array([81, 33]), array([81.053665, 33.053665]), array([100., 100.]), array([ 99, 100]), array([ 98, 100]), array([98.04543501, 98.54543501]), array([92, 98]), array([92.45040832, 89.45040832]), array([92., 89.]), array([89., 89.]), array([89, 90]), array([89.0914431, 90.0914431]), array([90.5, 90. ]), array([89.86219379, 89.86219379]), array([89.96401782, 89.96401782]), array([90, 90]), array([90, 92]), array([90, 89]), array([89.34740375, 89.84740375]), array([89.34740375, 90.        ]), array([90, 90]), array([90, 90])]",182.57556404519232,GSIS
1,2,47.00605797767639,249,"[array([10, 10]), array([11.5, 11.5]), array([10.70083737, 18.20083737]), array([ 8.5, 22.5]), array([ 6.74296644, 26.74296644]), array([ 8.63423646, 43.63423646]), array([11, 43]), array([25.28771075, 82.78771075]), array([ 47.00449149, 100.        ]), array([ 72.26272763, 100.        ]), array([72, 99]), array([86.5609278, 94.0609278]), array([92, 94]), array([89, 94]), array([87, 89]), array([89.15076816, 88.15076816]), array([89.15076816, 89.        ]), array([90.5, 89. ]), array([90.5, 90. ]), array([90, 90])]",169.22723417717344,GSIS
2,3,83.21235537528992,249,"[array([10, 10]), array([13.65714334, 13.65714334]), array([13, 15]), array([16, 15]), array([17.04721588, 16.04721588]), array([17.04721588, 17.        ]), array([18, 17]), array([17.40293381, 17.90293381]), array([19.06932075, 22.06932075]), array([17.5, 26.5]), array([17.65780252, 29.65780252]), array([17, 35]), array([21, 35]), array([24.18865526, 38.18865526]), array([24, 44]), array([24, 58]), array([27.48829589, 64.48829589]), array([27, 89]), array([34, 89]), array([35, 89]), array([38.27949928, 83.27949928]), array([42.80900109, 90.80900109]), array([45., 84.]), array([45, 87]), array([48. , 82.5]), array([51., 97.]), array([52, 97]), array([53.5, 97. ]), array([54, 97]), array([67.5, 97. ]), array([ 76.36285005, 100.        ]), array([ 90, 100]), array([90, 95]), array([87.20994695, 89.20994695]), array([92, 89]), array([91, 89]), array([91, 90]), array([90.99837375, 89.99837375]), array([90, 90]), array([90., 90.])]",204.540526950375,GSIS
3,4,45.75570559501648,249,"[array([10, 10]), array([11.5, 11.5]), array([100,  11]), array([100,  12]), array([100,  21]), array([100.        ,  21.09790461]), array([100,  33]), array([100.       ,  76.1372564]), array([100, 100]), array([96.84722044, 99.84722044]), array([94, 99]), array([93.4237092, 92.4237092]), array([93.       , 92.4237092]), array([92.04806413, 91.04806413]), array([92, 91]), array([90.99246445, 89.99246445]), array([90, 90]), array([90., 90.])]",196.9332437873682,GSIS
4,5,42.273316621780396,249,"[array([10, 10]), array([10.79160813, 10.79160813]), array([17, 10]), array([17, 12]), array([40, 12]), array([40, 13]), array([42, 12]), array([58.5, 15. ]), array([74, 15]), array([74, 16]), array([84, 16]), array([100.,  19.]), array([100,  30]), array([99, 30]), array([99., 45.]), array([94.5, 66. ]), array([89.57383162, 90.07383162]), array([90, 90]), array([90, 90])]",168.64548338183172,GSIS
5,6,48.240458488464355,249,"[array([10, 10]), array([14, 10]), array([14.33361429, 10.33361429]), array([14, 15]), array([24, 15]), array([27, 15]), array([29, 15]), array([47, 15]), array([61, 15]), array([100., 100.]), array([99.51672922, 87.51672922]), array([89.53794617, 97.03794617]), array([89, 90]), array([89.17864801, 90.        ]), array([90.        , 89.20339111]), array([90, 90]), array([90., 90.])]",185.13308579506952,GSIS
6,7,53.44784879684448,249,"[array([10, 10]), array([10., 13.]), array([15, 13]), array([27.83445793, 15.33445793]), array([31, 15]), array([93.02807039, 14.02807039]), array([94.61278775, 17.11278775]), array([94.42653149, 17.42653149]), array([94.42653149, 19.        ]), array([92.5, 26.5]), array([92.58291999, 26.58291999]), array([92.        , 26.58291999]), array([89. , 33.5]), array([89, 38]), array([100., 100.]), array([ 97.86535639, 100.        ]), array([ 94, 100]), array([ 91, 100]), array([91, 92]), array([91, 91]), array([91. , 89.5]), array([91, 90]), array([90, 90])]",196.1217302073228,GSIS
7,8,43.435965061187744,249,"[array([10, 10]), array([10.58473449, 10.58473449]), array([17.21244471, 11.21244471]), array([23, 11]), array([23.52933895, 11.52933895]), array([30, 11]), array([39, 11]), array([40.5, 21.5]), array([100.        ,  82.68394293]), array([100,  95]), array([94., 92.]), array([93.15281747, 91.15281747]), array([91.24368903, 90.74368903]), array([89.       , 90.7484404]), array([89., 90.]), array([90, 90])]",151.63494667966984,GSIS
8,9,55.323134660720825,249,"[array([10, 10]), array([11.38850854, 11.38850854]), array([13.47917671, 20.97917671]), array([13.09236028, 21.59236028]), array([14.        , 21.59236028]), array([15., 23.]), array([15, 29]), array([ 15, 100]), array([ 21.64509229, 100.        ]), array([ 25, 100]), array([24.67995816, 95.17995816]), array([42., 98.]), array([42., 95.]), array([ 53.22686969, 100.        ]), array([ 57, 100]), array([ 76.17944381, 100.        ]), array([ 98, 100]), array([ 89.24231966, 100.        ]), array([91.03460366, 99.03460366]), array([91, 96]), array([88., 90.]), array([91.93707258, 90.        ]), array([91, 90]), array([90.30866634, 90.80866634]), array([90., 90.])]",201.2259693193269,GSIS
9,10,39.466025590896606,249,"[array([10, 10]), array([11.56330902, 11.56330902]), array([10.33605346, 13.33605346]), array([13, 13]), array([10.25035409, 19.25035409]), array([11.        , 19.25035409]), array([ 17., 100.]), array([17, 97]), array([20, 97]), array([21, 97]), array([ 87.78403829, 100.        ]), array([87, 94]), array([88.5, 91. ]), array([90., 91.]), array([89.12736339, 88.62736339]), array([90, 90]), array([90, 90]), array([90, 90])]",184.51340061328,GSIS
10,11,35.89051103591919,249,"[array([10, 10]), array([10.01481197, 10.01481197]), array([11.5096467, 11.5096467]), array([11, 14]), array([100,  14]), array([100.        ,  93.68012427]), array([100,  93]), array([100. ,  88.5]), array([98, 88]), array([98., 91.]), array([96.5, 94. ]), array([96., 94.]), array([90., 90.])]",194.6639363175771,GSIS
